Full Text of Notice,Notice Date,Publication Name,Location Name,Street Address,City,State,Zip Code,Auction Sites,Count of Tenants
"NOTICE OF PUBLIC SALE OF PERSONAL PROPERTY

Please take notice SmartStop Self Storage located at site 10231 Colima Rd
Whittier CA 90603 intends to hold an auction of the goods stored in the
following units to satisfy the lien of the owner. The sale will occur as an
online auction via www.selfstorageauction.com on 3/19/25 at 1pm or after.
Contents include personal property described below belonging to those
individuals listed below.

I034,Jennifer Holguin,Household Items, Boxes, Misc. Items

L001B,Manuel Cesar Monterroso Corado,Household Items, Boxes, Misc. Items

Purchase must be paid at the above referenced facility in order to complete the
transaction. SmartStop Self Storage may refuse any bid and may rescind any
purchase up until the winning bidder takes possession of the personal property.
Please contact the property with any questions (562) 252-1746.

Whittier Daily NewsPublished: 2/28/25",2025-02-28,Whittier Daily News,"Storage located at site 10231 Colima Rd
Whittier CA 90603 intends to hold an auction of the goods stored in the
following units to satisfy the lien of the owner","10231 Colima Rd
Whittier CA 90603 intends to hold an auction of the goods stored in the
following units to satisfy the lien of the owner. The sale will occur as an
online auction via www.selfstorageauction.com on 3",Colima Rd Whittier,CA,90603,[],0
N/A,2025-02-28,Alameda Journal,N/A,,,,,[],0
"CITY OF MONTCLAIR

NOTICE OF PUBLIC HEARING




NOTICE IS HEREBY GIVEN that on Monday, March 10, 2025, at 7:00 p.m. in the City
Council Chambers of City Hall, 5111 Benito Street, Montclair, CA 91763, the 
Planning Commission of the City of Montclair will conduct a public hearing
concerning Case No. 2024-59 pertaining to the following:




PROJECT LOCATION: 4.4-acre portion of the Costco Wholesale development at 9404
Central Avenue (a portion of Assessor Parcel Numbers:1008-361-16-0000)




APPLICANT: Costco Wholesale Corporation, c/o Alberto Esquivel, Senior Planner
Barghausen




PROJECT DESCRIPTION: Costco Wholesale is seeking to relocate on-site and expand
its existing fuel facility on a 4.4-acre portion of the Costco Wholesale
development at 9404 Central Avenue. The Project Site includes the existing fuel
facility, the northernmost parking areas along the west and east property
boundary, and two direct driveway access points. The Costco warehouse building
and the existing fuel facility combined encompass 14 acres and were approved
under Conditional Use Permit and Precise Plan of Design No. 2000-14 and
Environmental Impact Report No. 2000031036. The originally approved fuel
facility was expanded under Conditional Use Permit No. 2004-37.




The Applicant is requesting a Conditional Use Permit Amendment and a Precise
Plan of Design to allow the construction and operation of sixteen multi-product
dispensers (MPDs) (32 fueling positions) with a 12,684 square-foot canopy, three
(3) 40,000-gallon gasoline underground storage tanks, (USTs) one (1)
1,500-gallon additive UST and associated site improvements such as landscaping
and parking lot striping. Once the new facility is operational, the existing
fuel facility would be decommissioned and demolished, and the remaining site
improvements, including landscape, site lighting, parking, and directional
striping, would be completed.









The project primarily aims to improve fueling operations and reduce vehicle
queueing at the existing facility.




ZONING: Commerce - Mixed Use per the Montclair Corridors Code




GENERAL PLAN: Commerce




ENVIRONMENTAL ASSESSMENT: The Planning Division has determined this project is
Categorically Exempt pursuant to Class 32. The Class 32 "" Infill' Categorical
Exemption (CEQA Guidelines Section 15332), hereafter referred to as the Class 32
Exemption"", exempts infill development within urbanized areas if it meets
certain criteria. The class consists of infill projects that are consistent with
the General Plan and zoning requirements. This class is not intended for
projects that would result in any significant traffic, noise, air quality, or
water quality impacts. A Class 32 Exemption applies to the subject project
characterized as in-fill development because the project meets all the
conditions described below:




(a) The project is consistent with the applicable general plan designation and
all applicable general plan policies, as well as with applicable zoning
designation and regulations.

(b) The proposed development occurs within city limits on a project site of no
more than five acres substantially surrounded by urban uses.

(c) The project site has no value as habitat for endangered, rare, or threatened
species.

(d) Approval of the project would not result in any significant effects relating
to traffic, noise, air quality, or water quality.

(e) The site can be adequately served by all required utilities and public
services.




Further, none of the exceptions outlined in CEQA Guidelines Section 15300.2
apply here.




INVITATION TO BE HEARD: All interested persons will be given an opportunity to
comment on the above-referenced item at the public hearing and any subsequent
public hearings conducted related to the item. In addition, written comments on
the project may be submitted to the Planning Commission prior to the hearing via
e-mail or U.S. Mail. All written comments must be received by the City at least
one hour before the scheduled hearing, and may be e-mailed to 
pcclerk@cityofmontclair.org , or mailed to City of Montclair, Attn: Planning
Commission Clerk, P.O. Box 2308, Montclair, CA 91763. Please reference the
hearing title and date of hearing in any correspondence. Pursuant to GC
65009(b)(2), legal challenges to the City's action on this project may be
limited to only those issues raised in testimony and written comments during the
public hearing process.




Full documentation related to the above-referenced item may be reviewed at least
72 hours before the hearing by requesting to be emailed a digital copy of the
documents, or by downloading the agenda packet for the March 10, 2025, Planning
Commission meeting posted on the City’s website at: 
https://www.cityofmontclair.org/planning-commission-meetings/




For further information concerning this project, please contact Senior Planner
Silvia Gutiérrez, the project coordinator, at (909) 625-9435 / 
sgutierrez@cityofmontclair.org . Si desea información en español acerca de esta
propuesta, por favor comuníquese con Silvia Gutiérrez en la ciudad de Montclair,
al teléfono (909) 625-9435.




The City of Montclair does not discriminate against persons with disabilities.
If you need special assistance to participate in this meeting, contact the
project coordinator. Notification prior to the meeting will enable the City to
make reasonable arrangements to ensure accessibility to this meeting. (28 CFR
35.102–35.104 ADA Title II).

Publish: Friday, February 28, 2025



Inland Valley Daily Bulletin - SBPublished: 2/28/25",2025-02-28,Inland Valley Daily Bulletin - SB,N/A,"00 p.m. in the City
Council Chambers of City Hall, 5111 Benito Street, Montclair, CA 91763, the 
Planning Commission of the City of Montclair will conduct a public hearing
concerning Case No. 2024-59 pertaining to the following",Benito Street  Montclair ,CA,91763,[],0
N/A,2025-02-28,Inland Valley Daily Bulletin - SB,N/A,,,,,[],0
"NOTICE OF LIEN SALE 

We, Drydock Depot RV & Boat Storage has a 1994 Rein CF#’s 2199NL CA Hull#’s:
RNA70101G394 1993 VM LC#’s 4CX2003 CA Vin#’s: 1VMBG1810P1001232 Which will be
sold on 3/11/2025 at 10:00Am At 1450 N Campus Ave., Upland, CA

Inland Valley Daily Bulletin - SBPublished: 2/28/25",2025-02-28,Inland Valley Daily Bulletin - SB,Storage has a 1994 Rein CF,"1450 N Campus Ave., Upland, CA

Inland Valley Daily Bulletin - SBPublished",,,,[],0
N/A,2025-02-28,San Diego Union-Tribune,N/A,,,,,[],0
"Notice is hereby given that U-Haul Company of Oceanside storage auction will
take place online Monday March 17th at 12:00pm at jmichaelsauctions.com at
U-Haul moving and storage of Miramar 9650 Camino Ruiz, San Diego CA, 92126.
Items sold are generally described as: clothing, furniture and/or household
items belonging to the following: Jeanne Koepsel Caplan #2494-97, Kathleen
Urbiztondo #2511 #1033, Cleveland Combs #2366, Marvin Madariaga #1009.

Notice is hereby given that U-Haul Company of Oceanside storage auction will
take place online Monday March 17th at 12:00pm at jmichaelsauctions.com at
U-Haul moving and storage of Oceanside 802 S. Coast Hwy, Oceanside, CA, 92054.
Items sold are generally described as: clothing, furniture and/or household
items belonging to the following: Kristin Vitek #1053, Guadalupe Sanchez #1111.

San Diego Union-TribunePublished: 2/28/25",2025-02-28,San Diego Union-Tribune,N/A,,Camino Ruiz  San Diego,CA,92126,"['http://jmichaelsauctions.com', 'jmichaelsauctions.com']",2
N/A,2025-02-28,San Diego Union-Tribune,N/A,,,,,[],0
"NOTICE OF PUBLIC SALE: 

Self-storage Cube contents of the following customers containing household and
other goods will be sold for cash by CubeSmart Management, LLC 201 Via El
Centro, Oceanside, CA 92058 to satisfy a lien on March 19, 2025 at approx. 1:30
PM at www.storagetreasures.com: Vicken Topdjian, Char Smith, Kenneth Ahrens,
Angel Lujan, Angel Lujan, Manuel Betancourt, Luis Marron, Kaitlyn Duoblys,
Bianca Nares, Chasity Young, Anthony Hernandez, James Pannell, Derrick Smith,
Zoey Watkins, Madison Daniels, Josephine Convocar, Hannah Wilson, Ruben Vidaca,
Kaari Bakari, Shanelle Avery, Rebecca May



San Diego Union-TribunePublished: 2/28/25",2025-02-28,San Diego Union-Tribune,N/A,,Via El Centro  Oceanside ,CA,92058,[],0
N/A,2025-02-28,Sierra Sun,N/A,,,,,[],0
"NOTICE OF PUBLIC SALE: 

Self-storage Cube contents of the following customers containing household and
other goods will be sold for cash by CubeSmart Management, LLC 514 Ammunition
Rd. Fallbrook CA 92028 to satisfy a lien on March 19, 2025 at approx. 1:30 PM at 
www.storagetreasures.com [http://www.storagetreasures.com]:




Kandice C Pierce, Joy Loioco, Yanet Zaragoza, Alicia Ortiz, Jaime Escobedo

San Diego Union-TribunePublished: 2/28/25",2025-02-28,San Diego Union-Tribune,N/A,"514 Ammunition
Rd. Fallbrook CA 92028 to satisfy a lien on March 19, 2025 at approx. 1",Ammunition Rd  Fallbrook,CA,92028,[],0
N/A,2025-02-28,Santa Maria Times,N/A,,,,,[],0
"Tarmac American EZ Storage Auction
The personal property of the following people has been abandoned, left unclaimed and will be sold at auction to satisfy lien at Tarmac American EZ Storage: Karriona Calda, E01; James Manns, B13; Lester Reed, D9, D15, 182; Marie Armenta, A37; Jessica Armstrong, E25; Sarah Gleaton, A03. Auction will be held 3/1/2025 at 9:30 am. Meet at Tarmac American EZ Storage at 2909 Tarmac Rd. Redding, CA. 96003. Auctioneer Bond #57BSBFT9190.
February 21, 28 2025
LYRK0243776",2025-02-28,Redding Record Searchlight,"Storage Auction
The personal property of the following people has been abandoned","30 am. Meet at Tarmac American EZ Storage at 2909 Tarmac Rd. Redding, CA. 96003. Auctioneer Bond ",Tarmac Rd  Redding ,CA,96003,[],0
N/A,2025-02-28,Redding Record Searchlight,N/A,,,,,[],0
